article;lang
παραπάνω χρόνον τους με τη θρησκευτική;cypr
λατρείαν τζαι με την κατασκευήν;cypr
μνημείων;cypr
 Έτσι εδημιουργηθήκασιν σε ούλλον το;cypr
νησίν πέραν των τριακόσιων πλατφόρμων;cypr
κυρίως στην παραλίαν Το κτίσιμον τους;cypr
σύφωνα με πολυσύνθετους αστρονομικούς;cypr
συσχετισμούς στο χώρον προσδιορισμένες;cypr
ανάλογα με τον ισημερινόν ή άλλα σημεία;cypr
του ορίζοντα μαρτυρούν ψηλά διανοητικά;cypr
επιτεύγματα Σε κάθε χώρον εστήνουνταν;cypr
από ένα μέχρι δεκαπέντε τεράστια;cypr
πέτρινα αγάλματα που συντηρούνται;cypr
μέχρι σήμερα σαν κληρονομιά της χαμένης;cypr
πασχαλινής κοινωνίας Σκάλισμένα με;cypr
εργαλεία που σκληρήν λάβα απεικόνιζαν;cypr
με πολλά καλλιτεχνικό στυλ την κελλέν;cypr
τζαι τον θώρακαν ενός αδρώπου Η;cypr
τζιεφαλή ήταν στεφανωμένη με ένα;cypr
βρουλίν καμωμένον που πέτραν κότσιινην;cypr
βάρους περίπου δέκα τόνων προερχόμενης;cypr
που έναν άλλον λατομείον Το σκάλισμαν;cypr
ήταν εύκολη δουλειά μα έπιανεν πολλή;cypr
χρόνον Η μεγαλλύτερη δυσκολίαν ήταν η;cypr
μεταφορά των τεράστιων κολοσσών τζαι η;cypr
αναστήλλωση τους στη μούτην των;cypr
Αχού;cypr
 Η λύση που ήβραν οι Πασχαλινοί σε;cypr
τούτο το μεγάλον τους πρόβλημα διά τζαι;cypr
το κλειδίν που εξηγά την τύχη που ήβρεν;cypr
μετέπειτα την κοινωνίαν τους Ελλείψει;cypr
χτηνών που σώννουν αναγκάστηκαν να;cypr
χρησημοποιήσουν μιαν τεράστιαν;cypr
εργατικήν δύναμη για να τραβά τα;cypr
αγάλματα τζυλώντας τα πάνω σε κορμούς;cypr
δέντρων Που την μικρήν ομάδαν που;cypr
αγκυροβόλησεν στο νησίν τον πέμπτον;cypr
αιώναν ο πληθυσμός έφτασεν τες 7000 το 1550;cypr
Υπήρχαν τότε εκατοστάες Αχού πάνω στα;cypr
οποία εστηθήκασιν πάνω που 600 γιγάντια;cypr
αγάλματα;cypr
 Μετά εντελώς αιφνιδιαστικά ο;cypr
πολιτισμός αυτός εσυτρίφτην αφήνοντας;cypr
πίσω του πέραν των μισών αγαλμάτων;cypr
ατέλειωτα στο λατομείο του Rano Raraku;cypr
 Τι έγινεν Μια δραματική διάβρωση;cypr
του περιβάλλοντος που την αποψίλωσην;cypr
του δάσους Όταν αποβιβαστήκαν οι;cypr
πρώτοι ευρωπαίοι τον 17ον αιώναν ήβραν;cypr
την νήσον γέρημην εκτός που μιαν;cypr
φούχταν δεντρά στο βάθος του κρατήρα;cypr
του σβηστού ηφαιστείου Ράνο Κάο Εν;cypr
τούτοις οι τελευταίες επιστημονικές;cypr
εργασίες που μπορούν να αναλύουν τους;cypr
τύπους γύρης εδείξαν ότι η νήσος του;cypr
Πάσχα ήταν καλυμμένη κάποτε που πυκνόν;cypr
δάσος Όσον ο πληθυσμός αναπτύσσετουν;cypr
εχρειάζετουν να κόφκει ούλον τζαι;cypr
παραπάνω ξύλα για να καλυφκει τες;cypr
ανάγκες του ξεχέρσωμαν εκτάσεων για;cypr
τες καλλιέργειες καύσιμα για να;cypr
βράζουν τζαι για να μαειρεύκουν ξύλα;cypr
σαν οικοδομικά υλικά για να κάμνουν;cypr
κανό για ψάρεμαν κορμούς για να τζυλούν;cypr
τζαι να κουβαλούν τα αγάλματα εκατοστάες;cypr
εργάτες Με άλλα λόγια εκαταλιούσαν;cypr
τεράστιες ποσότητες ξύλου Τζαι μιαν;cypr
ημέραν έλειψεν;cypr
 Η αποψίλωση του τόπου εν εσήμανεν;cypr
μόνον το πάγωμαν κάθε κοινωνικής τζαι;cypr
θρησκευτικής δραστηριότητας που ήταν;cypr
τόσον ανθούσες Εσυντάραξεν επίσης την;cypr
καθημερινήν ζωήν των Πασκαλινών Το 1500 η;cypr
έλλειψη ξύλου ανάγκασεν πολλήν κόσμον;cypr
να εγκαταλείψει τον τρόπον οικοδόμησης;cypr
με ξύλα τζαι να καταφύει σε σπήλιους;cypr
Όταν ένα αιώναν πιο ύστερα το ξύλον;cypr
έλειψεν τέλεια ούλλος ο πληθυσμός;cypr
εμετακόμισεν σε τρωγλοειδής οικισμούς;cypr
σγαμμένους μες τους κρεμμούς η μες σε;cypr
κάτι καλυφούες που καλάμια που;cypr
εβλαστούσαν ακόμα γυρόν που τες λίμνες;cypr
των κρατήρων Τζαι τα μακρινά ταξίθκια;cypr
γιοκ Δίχα ξύλον δίχα βάρκες Τα;cypr
ψεφτοκανό με τα καλάμια εκάμναν μόνον;cypr
για να πιτσιαρίζουν στες γύρω ακτές;cypr
 Τζαι το ψάρεμαν γιοκ Το ξύλον τους;cypr
βάτους με το οποίον εκάμναν δίκτυα;cypr
έλειψεν τζαι τζείνον Με την εξάλειψην;cypr
της άγριας χλωρίδας εφτώσιινεν ακόμα;cypr
παραπάνω το χώμαν που υπολείπετουν ήδη;cypr
λίπανσην ζωικής προέλευσης για να;cypr
αναζωογονεί τες θρεπτικές ουσίες που;cypr
απορροφούσαν οι καλλιέργειες Οι;cypr
βροσιές εδιαβρώσαν ακόμα παραπάνω την;cypr
γην τζαι η παραγωγή γλυκοπατάτας;cypr
έππεσεν Τα κοτόπουλλα εμείναν η κύρια;cypr
πηγή διατροφής Όσον ο αριθμός τους;cypr
εμεγάλωννεν τόσον έπρεπεν να τα;cypr
προστατεύκουν που τες κλεψιές Μα τα;cypr
πουλιά μόνον δεν εκανούσαν να θρέψουν;cypr
7000 αθρώπους τζαι ο πληθυσμός άρκεψεν να;cypr
φιρνά;cypr
 Που το 1600 τζαι μετά η φθίνουσα;cypr
κοινωνία της νήσου Πάσχα εξέππεσεν σε;cypr
ούλλον τζαι πιο πρωτόγονα επίπεδα Δίχα;cypr
δεντρά δηλαδή δίχα κανό οι νησιώτες;cypr
εβρεθήκαν φυλακισμένοι σιιλιάες μίλια;cypr
μακριά που την πατρογονικήν γην;cypr
ανίκανοι να διαφύουν που τες επιπτώσεις;cypr
της κατάπτωσης του περιβάλλοντος τους;cypr
της οποίας οι μόνοι υπεύθυνοι ήταν οι;cypr
ίδιοι Οι κοινωνικές επιπτώσεις της;cypr
αποψίλωσης εν ήταν λιόττερον δραματικές;cypr
Η αδυναμία να στήνουν τζιηνούρκα;cypr
αγάλματα είσιεν καταστροφικές;cypr
συνέπειες στο σύστημα λατρείας τζαι την;cypr
κοινωνικήν οργάνωσην πάνω στις οποίες;cypr
ήταν δομημένη η πολυσύνθετη τζείνη;cypr
κοινωνία;cypr
 Οι συγκρούσεις επολλαπλασιαστήκαν;cypr
βάλλοντας το νησίν σε σχεδόν μόνιμην;cypr
κατάστασην πολέμου Η δουλεία εγίνην;cypr
συνηθισμένη πρακτική Όσον οι πρωτεΐνες;cypr
ελλιανίσκαν τόσον οι κάτοικοι;cypr
εγίνουνταν κανίβαλοι Ένας που τους;cypr
κύριους στόχους των πολέμων ήταν να;cypr
καταστρέψουν τα Αχού της αντίπαλης;cypr
φυλής Τα παραπάνω που τζείνα τα υπέροχα;cypr
πέτρινα αγάλματα εκαταστραφήκαν το ένα;cypr
μετά το άλλον Μπροστά σε τούτον το;cypr
θλιβερόν τοπίον μπροστά στην άγνοιαν;cypr
των Πασχαλινών που εχάσαν την πολιτιστικήν;cypr
τους μνήμην αιώνων οι πρώτοι Ευρωπαίοι;cypr
δεν εκαταλάβαν τον μυστήριον πολιτισμόν;cypr
που άνθισεν στο παρελθόν πάνω στο νησίν;cypr
Για σιίλια χρόνια οι Πασχαλινοί ήβραν;cypr
τον τρόπον να συντηρήσουν έναν τρόπον;cypr
ζωής στηριγμένον σε έναν λεπτόν;cypr
ισοζύγιον ηθών που τους επέτρεπεν όϊ;cypr
μόνον να διαβιούν αλλά να ευτυχούν;cypr
 Πρόκειται βέβαια για λόους ενός;cypr
θριάμβου της αθρώπινης ραδιουργίας;cypr
τζαι μιας επιφανειακής νίκης πας στην;cypr
εχθρικήν φύσην Σε τελευταίαν όμως;cypr
ανάλυσην ο υπερπληθυσμός και οι;cypr
πολιτιστικές φιλοδοξίες των νησιωτών;cypr
εφανήκαν πολλά βαρετές πάνω στες;cypr
περιορισμένες πηγές που είχαν εις την;cypr
διάθεσην τους Όταν ελείψαν η κοινωνία;cypr
δεν άρκησεν να συντριβεί οδηγώντας τους;cypr
ανθρώπους σε έναν επίπεδον που δεν;cypr
απείχεν πολλά που την βαρβαρότηταν;cypr
Αρκούσεν σε τούτους τους ανθρώπους;cypr
εντελώς ξεκομμένους που τον κόσμον;cypr
μιαν μόνον ημέραν για να κάμουν τον;cypr
γυρόν του μικρού νησιού τους για να;cypr
καταλάβουν την ζωτικήν ανάγκην να;cypr
έβρουν έναν αειφόρον ισοζύγιον με το;cypr
περιβάλλον;cypr
 Αντί αυτού εκμεταλλεουνταν το σαν να;cypr
τζαι οι δυνατότητες που τους εδίαν ήταν;cypr
άπειρες Τζαι ακόμα σιοιρόττερα ενώ οι;cypr
ελλείψεις στο νησίν εγίνουνταν ολοέναν;cypr
